+,1000,1024,3261
-,1000,1024,870
*,1000,1024,53757
+,10000,1024,3105
-,10000,1024,924
*,10000,1024,53216
+,100000,1024,3004
-,100000,1024,885
*,100000,1024,52582
+,1000,2048,4627
-,1000,2048,1499
*,1000,2048,205642
+,10000,2048,4662
-,10000,2048,1527
*,10000,2048,204867
+,100000,2048,4693
-,100000,2048,1567
*,100000,2048,239941
+,1000,4096,8414
-,1000,4096,2804
*,1000,4096,659281
+,10000,4096,9299
-,10000,4096,3196
*,10000,4096,752114
+,100000,4096,8512
-,100000,4096,2960
*,100000,4096,698414
